,Participant,Narrative,RE,Discourse,Order,Accessibility,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Duration
89,3.0,5,KEDİ,Re-introduction,13,2.0,0.2012168028041908,0.2072238675293634,0.0923895970828709,0.05657177844185546,0.34
90,3.0,5,KEDİ,Re-introduction,16,2.0,0.46820492904587113,0.48575163337157307,0.13136943676807122,0.11397725059552921,0.46
91,3.0,5,KEDİ,Re-introduction,19,3.0,0.0180283022582861,0.0244218762013822,0.014928125756853542,0.005780630500412801,0.14
92,3.0,5,KEDİ,Re-introduction,25,0.0,0.3683411763550578,0.3931508180499248,0.0779342621867795,0.05926492036676887,0.24
93,3.0,6,FARE,Introduction,1,0.0,0.6930415530471773,0.7646390259261832,0.2574507962089838,0.20149338752786192,0.66
94,3.0,6,FARE,Re-introduction,4,2.0,0.276163493793395,0.2893597538308444,0.0746854128808285,0.08352877623270856,0.24
95,3.0,6,FARE,Re-introduction,6,2.0,0.1676440539431411,0.1968784146291091,0.0722926817349655,0.0958287708796703,0.16
96,3.0,6,FARE,Re-introduction,15,2.0,0.0285398031318712,0.0287168090894862,0.015303270722937,0.0153954028682562,0.22
97,3.0,6,KEDİ,Introduction,3,2.0,0.5344258820559754,0.5868024651520927,0.12266740299266493,0.0889341151967134,0.36
98,3.0,6,KEDİ,Re-introduction,5,2.0,0.1743678112519349,0.1932369099189285,0.0624425347755463,0.05113611831109116,0.3
99,3.0,6,KEDİ,Re-introduction,8,2.0,0.1552568910598408,0.1624641779588268,0.06375917805811747,0.0570617307034948,0.16
100,3.0,6,KEDİ,Re-introduction,12,2.0,0.0718093227237868,0.0789410442335786,0.033690148502868195,0.023899800243542546,0.2
101,3.0,6,KEDİ,Re-introduction,17,2.0,0.5564828705358955,0.6258242335128785,0.1659915502905939,0.11690815823165511,0.56
102,3.0,7,KEDİ,Introduction,2,0.0,0.3754306952771447,0.3885437247976636,0.0697066704794287,0.04534374817817649,0.36
103,3.0,7,KEDİ,Maintenance,21,4.0,0.1280661712321235,0.135665005328786,0.0255163956180403,0.0262335877697934,0.16
104,3.0,7,KEDİ,Re-introduction,5,1.0,0.0864064152481061,0.1005228860353507,0.029550157890734202,0.0357835182696386,0.12
105,3.0,7,KEDİ,Re-introduction,10,1.0,0.019327530279597202,0.0189006639343534,0.0024854144962868,0.0003856716505044,0.04
106,3.0,7,KEDİ,Re-introduction,10,2.0,0.019327530279597202,0.0189006639343534,0.0024854144962868,0.0003856716505044,0.04
107,3.0,8,FARE,Introduction,4,0.0,0.760031497845405,0.7985639193459745,0.0906563957818965,0.11655999871300123,0.24
108,3.0,8,FARE,Re-introduction,7,2.0,0.3265414942059725,0.3481580706261658,0.06078355306398604,0.0784033765931943,0.22
109,3.0,8,FARE,Re-introduction,11,1.0,0.1641159886162032,0.1785222561172416,0.06967647370670679,0.08118363881169893,0.28
110,3.0,8,FARE,Re-introduction,14,1.0,0.2248444415525059,0.23030812859751099,0.077172370738348,0.0829527023699033,0.34
111,3.0,8,KEDİ,Introduction,1,1.0,1.1345976195839629,1.2114828619999725,0.2675384138663709,0.24142126543480014,0.66
112,3.0,8,KEDİ,Re-introduction,6,2.0,0.2302516505817068,0.2409682700755377,0.0457650981805833,0.08620795105270333,0.22
113,3.0,9,FARE,Introduction,2,0.0,0.7089023459308298,0.7531246528121951,0.2787544826571849,0.29441062110337834,0.62
114,3.0,9,FARE,Re-introduction,12,1.0,0.067713685874783,0.0841013835956166,0.033770262570673004,0.0347527765872727,0.16
115,3.0,9,KEDİ,Introduction,1,1.0,0.5757161793437291,0.6072929014587004,0.2299302898264145,0.23410398198408117,0.74
116,3.0,9,KEDİ,Maintenance,11,4.0,0.2654674877622225,0.2931401828681139,0.11120237674452871,0.066340298977963,0.24
117,3.0,9,KEDİ,Re-introduction,9,0.0,0.1604268397309588,0.2116706463356049,0.1160270570341486,0.0983355571198601,0.22
118,3.0,9,KEDİ,Re-introduction,15,1.0,0.1101246234266877,0.1288146035615991,0.0738433897465112,0.0986970976407488,0.18
119,3.0,10,FARE,Introduction,1,1.0,0.36059142681117723,0.3906582781427644,0.12617187358794021,0.1069611455411603,0.72
120,3.0,10,FARE,Maintenance,2,4.0,0.12244187283773329,0.1207144540202621,0.1030817449800844,0.0943579404816669,0.42000000000000004
121,3.0,10,FARE,Re-introduction,6,2.0,0.4656260004154055,0.4907755204446744,0.09256148629131568,0.060149257983501,0.38
122,3.0,10,FARE,Re-introduction,11,0.0,0.1518067713802659,0.1595403369440434,0.054357988594698044,0.0548683616477917,0.24
123,3.0,10,KEDİ,Maintenance,4,4.0,0.231169214465334,0.25258955871239214,0.0940576539215712,0.0544666880605071,0.4
124,3.0,10,KEDİ,Maintenance,16,5.0,0.2048407062046114,0.23163119646216498,0.0843627655538711,0.0517733351305517,0.24
125,3.0,10,KEDİ,Re-introduction,3,0.0,0.269249747737399,0.29001190750296824,0.1221117786993449,0.11641943097465912,0.32
126,3.0,10,KEDİ,Re-introduction,12,1.0,0.0489171005019564,0.0520369044776325,0.0289282788025882,0.020405070098297,0.12
127,4.0,1,FARE,Introduction,1,0.0,0.3640692642162375,0.3867047908092251,0.1296280253499256,0.102311064730292,0.58
128,4.0,1,FARE,Re-introduction,5,2.0,0.3181065684376771,0.3263778791175162,0.0910790132190623,0.0375720194475707,0.34
129,4.0,1,FARE,Re-introduction,10,1.0,0.0668238085311567,0.08353715163875809,0.027799712617986402,0.0217276402071832,0.28
130,4.0,1,FARE,Re-introduction,16,0.0,0.38794599653697515,0.4196343702852821,0.08950200671159204,0.11582090394086667,0.42000000000000004
131,4.0,1,FARE,Re-introduction,21,0.0,0.16806492507631499,0.1931885534311604,0.0835604724845633,0.0660861018399181,0.34
132,4.0,1,KEDİ,Introduction,2,-1.0,0.3586029966967626,0.3815805950256897,0.19364892673751222,0.09897104359485882,0.62
133,4.0,1,KEDİ,Maintenance,3,4.0,0.1245086057460782,0.11990852498542998,0.1070726183993855,0.08156974941116919,0.42000000000000004
134,4.0,1,KEDİ,Maintenance,12,4.0,0.1141255711326638,0.1252579743312208,0.028146908218671,0.029930348342570898,0.26
135,4.0,1,KEDİ,Re-introduction,7,2.0,0.21693294870439692,0.22145576099334868,0.08112722026627162,0.10046520180401623,0.34
136,4.0,1,KEDİ,Re-introduction,11,1.0,0.0973935243222873,0.105956262897311,0.0351439823583741,0.04284519299066971,0.34
137,4.0,1,KEDİ,Re-introduction,17,2.0,0.1624192980039069,0.1880622470928927,0.0400746584665465,0.0355201625064722,0.2
138,4.0,1,KEDİ,Re-introduction,22,2.0,0.090064386035301,0.1159957178816771,0.022922246122946927,0.045400573621023003,0.26
139,4.0,2,KEDİ,Introduction,1,1.0,0.5684060112692721,0.637050891320499,0.23562291409248365,0.255052745288911,0.82
140,4.0,2,KEDİ,Re-introduction,3,2.0,0.246310125000427,0.27357494041327407,0.1460175112293824,0.0760355374547438,0.38
141,4.0,2,KEDİ,Re-introduction,6,2.0,0.1504421649420108,0.15177139232340017,0.0365396380943439,0.0589686671680829,0.32
142,4.0,2,KEDİ,Re-introduction,10,3.0,0.23811836507644601,0.2587173962536231,0.09401763011021791,0.05688481161101867,0.36
143,4.0,3,FARE,Introduction,1,0.0,0.2603607870291951,0.2961838286435902,0.14816796778686822,0.0982831736643082,0.68
144,4.0,3,FARE,Maintenance,13,4.0,0.5295224936527893,0.5801261916621907,0.07872438003095678,0.09937597428074567,0.58
145,4.0,3,FARE,Re-introduction,3,2.0,0.6478625267527603,0.682828015979832,0.17425935933318437,0.16518276617764777,0.76
146,4.0,3,FARE,Re-introduction,5,1.0,0.20878373013576298,0.2378558578513931,0.071204766815227,0.07851942453275035,0.38
147,4.0,3,FARE,Re-introduction,7,1.0,0.1014402561200873,0.1092686219774616,0.0282028841377197,0.0314284620403915,0.26
148,4.0,3,FARE,Re-introduction,9,1.0,0.14226630774171156,0.1506638594216018,0.08018136435957982,0.0310352085955648,0.3
149,4.0,3,FARE,Re-introduction,12,1.0,0.34251220659639997,0.3648340321589164,0.05711124743641526,0.08102760032967307,0.34
150,4.0,3,KEDİ,Introduction,2,0.0,0.218489528947247,0.2382501647829718,0.0433526246910404,0.06756450320493,0.38
151,4.0,3,KEDİ,Re-introduction,6,1.0,0.3777637362239793,0.40268193522942647,0.09274128206413522,0.08347842056630242,0.4
152,4.0,3,KEDİ,Re-introduction,11,1.0,0.2072134495646728,0.2182160596314062,0.0669394639203764,0.0636491917205779,0.36
153,4.0,3,KEDİ,Re-introduction,16,0.0,0.24770305222570319,0.2492983245467577,0.07650461471521909,0.05339599733741541,0.44
154,4.0,3,KEDİ,Re-introduction,23,0.0,0.20409517210899022,0.19865896612276018,0.0326580652053125,0.0338065542264716,0.34
155,4.0,4,FARE,Introduction,1,1.0,0.294756780012751,0.3095793574824342,0.0854450985081493,0.0909468991859631,0.52
156,4.0,4,FARE,Re-introduction,9,0.0,0.1370518817588205,0.16013857496302225,0.06357638789943351,0.05498298876445356,0.34
157,4.0,4,FARE,Re-introduction,12,1.0,0.2413121421651685,0.2673210002274334,0.1252735844217341,0.1243804939388172,0.4
158,4.0,4,FARE,Re-introduction,17,0.0,0.3324953702582757,0.35528608584289834,0.0781847293550867,0.0893334273697212,0.4
159,4.0,4,FARE,Re-introduction,24,0.0,0.586388939465745,0.6354906123681803,0.20320608947075164,0.20265193829877098,0.6
160,4.0,4,KEDİ,Introduction,7,-1.0,0.5196407986927896,0.5196322818870439,0.116571126516215,0.08319760811094719,0.34
161,4.0,4,KEDİ,Re-introduction,16,0.0,0.4104113392077411,0.4476762045379714,0.1570612778953521,0.0987769106691372,0.4
162,4.0,5,FARE,Introduction,3,0.0,0.2851709526169964,0.314430674740918,0.1462992917400964,0.1383135378063783,0.54
163,4.0,5,FARE,Re-introduction,10,1.0,0.25939395696684553,0.3212870018726167,0.09619941940805371,0.11693915423245212,0.54
164,4.0,5,FARE,Re-introduction,20,1.0,0.2176650356648441,0.2370504338297716,0.112819050598352,0.1073814279434993,0.46
165,4.0,5,KEDİ,Introduction,1,1.0,0.6104792395475523,0.6517683670381827,0.18333036125007007,0.10726153772829773,0.58
166,4.0,5,KEDİ,Re-introduction,13,1.0,0.4440830029844782,0.4884287728732336,0.057921798774810684,0.047443808125829115,0.54
167,4.0,5,KEDİ,Re-introduction,18,1.0,0.1435297595558711,0.1492449246181431,0.023135167481990283,0.03077887269219539,0.22
168,4.0,6,FARE,Introduction,2,0.0,0.5923408714680886,0.6582449081554826,0.27198552652646935,0.1831738736974364,1.08
169,4.0,6,FARE,Re-introduction,16,1.0,0.0913411351946087,0.1010346689228474,0.04449359990463424,0.018886141576508555,0.32
170,4.0,6,KEDİ,Introduction,1,1.0,0.38018488095288466,0.4080655048113974,0.17190402238957422,0.16597969625642217,0.66
171,4.0,6,KEDİ,Maintenance,4,4.0,0.1282960560767638,0.15614191549575349,0.05715108457931372,0.037753399091470186,0.28
172,4.0,6,KEDİ,Re-introduction,3,2.0,0.0725676808460573,0.0718615192698394,0.0492811612571717,0.03169378514134079,0.3
173,4.0,6,KEDİ,Re-introduction,7,2.0,0.1966508535508699,0.2111170868711287,0.07803519549690892,0.05982615646110399,0.44
174,4.0,8,FARE,Introduction,3,-1.0,0.51706970561558,0.5516050068090614,0.10733089426953135,0.18211525520116234,0.54
175,4.0,8,FARE,Re-introduction,11,1.0,0.4287741891911301,0.4412575482187809,0.052995206799327677,0.0975171506621909,0.48
176,4.0,8,KEDİ,Introduction,1,0.0,0.32203226600478135,0.34848091424523747,0.12253904467238083,0.09680112168478938,0.58
177,4.0,9,FARE,Introduction,2,0.0,0.3019861895859319,0.32701356188393693,0.0766485940796923,0.14450619636476505,0.56
178,4.0,9,FARE,Maintenance,3,4.0,0.3050778481038534,0.32127749540165057,0.0912036517295232,0.08119538183416987,0.44
179,4.0,9,FARE,Maintenance,9,4.0,0.2996671012124952,0.3309474238978603,0.061952642680502996,0.06073084668301981,0.3
180,4.0,9,FARE,Re-introduction,7,2.0,0.18994740303540947,0.2076666843290111,0.07569439280768747,0.07747811584536331,0.3
181,4.0,9,FARE,Re-introduction,16,2.0,0.2304839841305502,0.2525585866930657,0.017730528132288485,0.05666290622659605,0.28
182,4.0,9,KEDİ,Introduction,1,1.0,0.31754414992152163,0.3377036948768082,0.09616313617356947,0.15168360294364397,0.48
183,4.0,9,KEDİ,Maintenance,5,4.0,0.0457408870973978,0.0448363540189593,0.01279542023375312,0.01722217134330143,0.18
184,4.0,9,KEDİ,Maintenance,6,4.0,0.1452653474909213,0.1489737035198856,0.04652999865159236,0.051377465793397456,0.22
185,4.0,9,KEDİ,Re-introduction,10,2.0,0.38343061803374234,0.43793547881109013,0.132999112058663,0.13426332293284948,0.38
186,4.0,9,KEDİ,Re-introduction,15,0.0,0.5915343796055121,0.6211925030518078,0.14147867395782043,0.15948896860121148,0.58
187,4.0,9,KEDİ,Re-introduction,18,1.0,0.0882213147949478,0.0981534182519455,0.044236438857168346,0.028181111003691,0.26
188,4.0,10,FARE,Introduction,3,-1.0,0.4184337846544265,0.4400313383570367,0.12077221095588611,0.14897364813344371,0.48
189,4.0,10,FARE,Re-introduction,7,1.0,0.1822275306795571,0.2054136136079033,0.033720186936137,0.036256051169845004,0.34
190,4.0,10,KEDİ,Introduction,1,1.0,0.3497819549772408,0.3807146463056462,0.1802473879130498,0.1456776858779877,0.94
191,4.0,10,KEDİ,Re-introduction,5,1.0,0.3302288929810927,0.3679480435194986,0.13510073197295838,0.10070367042397117,0.52
192,4.0,10,KEDİ,Re-introduction,8,1.0,0.05073305794051,0.053922234630682,0.0401489668756374,0.0366639001892162,0.26
193,10.0,1,FARE,Introduction,1,0.0,0.4754193967157868,0.5158843289829477,0.12502864647659115,0.12873574094078633,0.58
194,10.0,1,FARE,Re-introduction,5,1.0,0.1219223703785849,0.1267382612486124,0.030007045251154302,0.01875159799774312,0.3
195,10.0,1,KEDİ,Introduction,2,-1.0,0.5279502776184598,0.5824427187080548,0.11830327435435682,0.06981923747153435,0.8
196,10.0,1,KEDİ,Re-introduction,6,1.0,0.29016821978533397,0.3201796047658529,0.07940527311607071,0.058480753684941204,0.68
197,10.0,2,KEDİ,Introduction,1,0.0,0.38139413412409173,0.3959222898362187,0.03337216332392879,0.05482965065552574,0.32
198,10.0,2,KEDİ,Introduction,2,0.0,0.0093411862930981,0.0106683481647769,0.007241131118343147,0.0059109764547905005,0.1
199,10.0,2,KEDİ,Re-introduction,10,1.0,0.0424606017551545,0.0511462341154593,0.015716860895769694,0.010966606976329988,0.24
200,10.0,3,FARE,Introduction,1,0.0,0.7334937128980386,0.7704454440768704,0.1157397058685261,0.08764199151649249,0.64
201,10.0,3,KEDİ,Introduction,2,-2.0,0.0546256118910074,0.0609001668217469,0.0219146104266083,0.01505938804623212,0.2
202,10.0,3,KEDİ,Introduction,2,0.0,0.0546256118910074,0.0609001668217469,0.0219146104266083,0.01505938804623212,0.2
203,10.0,3,KEDİ,Maintenance,9,5.0,0.6288242517637698,0.6605981034450935,0.12838338393758686,0.06652049705180801,0.46
204,10.0,4,FARE,Introduction,1,1.0,0.5145694155565365,0.5595537462866658,0.1408225208141754,0.06580936529065093,0.82
205,10.0,4,KEDİ,Introduction,5,-1.0,0.15913365679372932,0.1560400090713488,0.0621163868757185,0.029784617426843567,0.36
206,10.0,5,FARE,Introduction,5,-1.0,0.6559960933691658,0.7006066700514701,0.1573942078852499,0.125461645344498,0.66
207,10.0,5,FARE,Re-introduction,10,1.0,0.1533653329323106,0.1607555412273754,0.029561321175888222,0.016884116779893526,0.22
208,10.0,5,KEDİ,Introduction,1,1.0,0.7527421287335037,0.8065734711609437,0.13004541451143045,0.08080963719544168,0.54
209,10.0,5,KEDİ,Re-introduction,11,1.0,0.7959070793384434,0.8478688136748803,0.1373400359068191,0.10195877585518964,0.58
210,10.0,6,FARE,Introduction,2,-1.0,0.1088439079696992,0.1102845072676,0.035704317479513,0.014309103559257599,0.24
211,10.0,6,KEDİ,Introduction,1,0.0,0.8182053719123515,0.8750230191291558,0.23156666273811619,0.22864634477582732,0.8599999999999999
212,10.0,6,KEDİ,Re-introduction,6,1.0,0.3592344400526045,0.3665361024451269,0.05770142095126188,0.06374676166913251,0.46
213,10.0,7,KEDİ,Re-introduction,10,-1.0,0.2607396599923722,0.2613544288347987,0.042918441679601196,0.04097441359189254,0.16
214,10.0,8,FARE,Introduction,2,0.0,0.5871537000125271,0.6170973265955615,0.09393084829933813,0.07663922584977836,0.76
215,10.0,8,KEDİ,Introduction,1,1.0,0.41286381453561727,0.4552953405566095,0.07241080704963222,0.06417645837410536,0.68
216,10.0,9,FARE,Introduction,2,0.0,0.513583063146596,0.534344857367218,0.07933995973656414,0.06573796840916421,0.54
217,10.0,9,FARE,Re-introduction,7,1.0,0.1647382185122866,0.1775444484397789,0.050426317060164,0.029144906627957524,0.44
218,10.0,9,KEDİ,Introduction,1,1.0,0.3943753888098418,0.421221674753583,0.11335520549902055,0.058520518743230034,0.74
219,10.0,9,KEDİ,Re-introduction,6,0.0,0.19499849930929575,0.2098317644239523,0.0209278439819428,0.01983956165153397,0.22
220,10.0,9,KEDİ,Re-introduction,8,1.0,0.8712061147378549,0.9145259723379079,0.10981549158370998,0.09838562093619975,0.5
221,10.0,10,FARE,Introduction,1,1.0,0.2754572992803009,0.2913807318425975,0.0912609387960158,0.04661327201208763,0.5
222,10.0,10,KEDİ,Introduction,3,-1.0,0.2597204050716258,0.2853585679486551,0.0380065128764364,0.03969245074841601,0.4
223,10.0,10,KEDİ,Maintenance,7,5.0,0.2950011401252653,0.319089051634726,0.07376736092157177,0.041557404132814536,0.42000000000000004
224,12.0,1,FARE,Introduction,2,-1.0,0.3701588057105731,0.4045224659870677,0.09637735609850051,0.1161392290973838,0.52
225,12.0,1,KEDİ,Introduction,3,-2.0,0.2593123967347756,0.2872293949460599,0.05090576161695703,0.051411453630881856,0.32
226,12.0,2,KEDİ,Introduction,2,0.0,0.4228473648582095,0.4675973199221555,0.17700812759848666,0.1966403397026713,0.62
227,12.0,3,FARE,Introduction,2,-1.0,0.4386573495922763,0.47582748587340234,0.10848490027080278,0.09418966219679993,0.52
228,12.0,3,FARE,Re-introduction,7,1.0,0.3522777192532875,0.3912454602277504,0.0716319774744038,0.0522957768035236,0.34
229,12.0,3,FARE,Re-introduction,9,1.0,0.1356684515917674,0.1535382390196158,0.053541193437594496,0.0733352872735495,0.42000000000000004
230,12.0,3,FARE,Re-introduction,14,0.0,0.1659538324680535,0.1829138886228729,0.0415734139118239,0.0434628455215749,0.18
231,12.0,3,KEDİ,Introduction,5,-1.0,0.2659030412831957,0.2870476272037754,0.13866254443491732,0.1071329579230971,0.7
232,12.0,3,KEDİ,Re-introduction,8,1.0,0.1489521451583904,0.168895986884478,0.07077330652636626,0.0406036661128209,0.3
233,12.0,3,KEDİ,Re-introduction,17,0.0,0.164843596272335,0.17496112483966242,0.0347827140402611,0.0307424348868417,0.16
234,12.0,4,FARE,Introduction,1,1.0,0.2489809414116779,0.2674848827936731,0.0909206446814187,0.06841823790942055,0.38
235,12.0,4,FARE,Re-introduction,7,0.0,0.0786747469020388,0.0790264644863422,0.018941518598292097,0.013671149479502247,0.16
236,12.0,4,FARE,Re-introduction,11,1.0,0.2625940227461497,0.2805098135998973,0.084587313297125,0.08618414447561691,0.42000000000000004
237,12.0,4,KEDİ,Introduction,3,-1.0,0.6609346898766216,0.7162930071625221,0.16208582700848506,0.1531588644859969,0.7
238,12.0,4,KEDİ,Re-introduction,12,1.0,0.0900252761284703,0.1063161863224049,0.05821634412976699,0.03406187363590137,0.28
239,12.0,5,FARE,Introduction,8,-1.0,0.5366064071521482,0.5809013088493024,0.14561614034743223,0.1541630995858386,0.64
240,12.0,5,FARE,Re-introduction,15,0.0,0.1549465710409756,0.1765102394615511,0.03791088992822404,0.04036230979017659,0.36
241,12.0,5,KEDİ,Introduction,1,1.0,0.2716603946834766,0.304232719640864,0.0963997399893527,0.08154083294900995,0.52
242,12.0,6,FARE,Introduction,4,-1.0,0.1792851336032345,0.1917530230525215,0.0930037651526526,0.07218686191815313,0.34
243,12.0,6,FARE,Re-introduction,13,0.0,0.3963550841710151,0.4425154075929321,0.1286255967629743,0.1222457347020313,0.52
244,12.0,6,KEDİ,Introduction,1,1.0,0.6446577830088679,0.6955849019761637,0.2332735231408426,0.22277303992104214,1.38
245,12.0,8,FARE,Introduction,2,0.0,0.404057564510253,0.4322773089686897,0.14272927991654621,0.12524074415081188,1.0
246,12.0,8,KEDİ,Introduction,1,1.0,0.1903494729930944,0.2169189948136152,0.0652315510032471,0.0458023366862097,0.4
247,12.0,9,FARE,Introduction,2,0.0,0.2001721716518245,0.22271211816344538,0.05739157706044509,0.08070533180031035,0.3
248,12.0,9,FARE,Maintenance,3,4.0,0.2584130357588645,0.2723023178548061,0.036481247002272864,0.0373216905557749,0.3
249,12.0,9,FARE,Re-introduction,10,1.0,0.2500215000279119,0.2812738700445765,0.08792404515725413,0.07444346482268333,0.4
250,12.0,9,KEDİ,Introduction,1,1.0,0.3103813695189506,0.3369870892255833,0.10662166525043425,0.07541351698860033,0.42000000000000004
251,12.0,9,KEDİ,Re-introduction,8,0.0,0.20342699956850158,0.2282339009882914,0.06279740870171562,0.0519674239909959,0.34
252,12.0,9,KEDİ,Re-introduction,11,1.0,0.193276003897958,0.2091986707749908,0.0615967373665345,0.0583811859907288,0.3
253,12.0,10,FARE,Introduction,2,0.0,0.1492043029969845,0.1624730395837441,0.0426431574561502,0.046828865143382,0.32
254,12.0,10,KEDİ,Introduction,3,-1.0,0.31598268017679,0.35026410758652493,0.1221005001897485,0.09292238246892534,0.4
255,12.0,10,KEDİ,Re-introduction,5,1.0,0.0555658618754679,0.0649525722733448,0.028187777220005213,0.02055628033697839,0.24
256,13.0,1,FARE,Re-introduction,5,1.0,0.6094767425667018,0.6515772703759108,0.1708100067610814,0.180774139023911,0.4
257,13.0,2,KEDİ,Re-introduction,10,1.0,0.2084882305817767,0.24717030889027,0.036464707303987404,0.048875443655034205,0.28
258,13.0,3,FARE,Introduction,3,-2.0,0.32112669165139807,0.36429595425490807,0.07575191639007955,0.054410304889071295,0.4
259,13.0,3,FARE,Re-introduction,7,1.0,0.1289034112827453,0.1395428621788725,0.0224040572063278,0.0233956995317734,0.2
260,13.0,4,FARE,Introduction,12,1.0,0.21713227705470947,0.2440516069238938,0.07493713113897747,0.0765294361094486,0.38
261,13.0,4,FARE,Re-introduction,22,0.0,0.5259433825232144,0.5869423791601669,0.1323902937069796,0.12490640055714793,0.8599999999999999
262,13.0,4,FARE,Re-introduction,26,1.0,0.0899258982387397,0.1059740971718399,0.02126278198272069,0.021430518507874637,0.24
263,13.0,5,FARE,Introduction,2,0.0,0.376299212878343,0.4096139613373689,0.07597355982749464,0.09920821848504768,0.52
264,13.0,5,FARE,Re-introduction,8,0.0,0.0252496724046186,0.0289722381258047,0.005854526770567071,0.0071961803014499,0.14
265,13.0,5,FARE,Re-introduction,14,2.0,0.057836592083872804,0.0663329825364956,0.0227367014202778,0.012676915912922394,0.12
266,13.0,6,FARE,Introduction,2,0.0,0.09727897601142049,0.11266775440483481,0.03441521555756294,0.0331686000625602,0.32
267,13.0,6,FARE,Re-introduction,4,1.0,0.2177423936675694,0.2410750086091051,0.04858511982512308,0.038438330210078975,0.32
268,13.0,6,FARE,Re-introduction,12,0.0,0.4229402715324617,0.4642905275684018,0.0847495979938571,0.1001695391603581,0.44
269,13.0,8,FARE,Introduction,2,0.0,0.419085071838229,0.4495433134758675,0.0576782855126271,0.0862204636930904,0.34
270,13.0,8,FARE,Re-introduction,7,1.0,0.5032294405801809,0.554797806335508,0.1350973984587787,0.130266352628166,0.24
271,13.0,9,FARE,Introduction,1,1.0,0.5482006166531155,0.6132954237995913,0.09406917608627571,0.10805224033274427,0.66
272,13.0,9,FARE,Re-introduction,10,1.0,0.0170331569002512,0.0195349126014242,0.0111449483626083,0.0129009981099943,0.16
273,13.0,10,FARE,Introduction,1,1.0,0.5336648908274132,0.5489073697683273,0.10611392009806263,0.10613143097117532,0.38
274,13.0,10,FARE,Re-introduction,5,2.0,0.0526811548549587,0.0744671784080453,0.01907653215985179,0.020674315636461903,0.2
275,13.0,10,FARE,Re-introduction,8,2.0,0.2560817746606373,0.2751861565238618,0.0628420721763761,0.044526987978472224,0.34
276,14.0,1,FARE,Introduction,2,-1.0,0.1379003078650696,0.14141805008020542,0.03647237889017322,0.04009907416468157,0.3
277,14.0,1,FARE,Re-introduction,6,1.0,0.12209237240763239,0.1449574093043147,0.03678614463442626,0.026394860251660997,0.2
278,14.0,1,FARE,Re-introduction,11,0.0,0.7846988198006285,0.8708561850640906,0.2515197310395947,0.1841229999076398,0.42000000000000004
279,14.0,1,FARE,Re-introduction,16,0.0,0.22585237026983151,0.2653970629938888,0.085347215970468,0.0513180411333646,0.36
280,14.0,1,KEDİ,Re-introduction,3,2.0,0.1930109794510181,0.2038518293939659,0.08234671139476611,0.0507581064455782,0.32
281,14.0,1,KEDİ,Re-introduction,7,1.0,0.2187476715453476,0.2367282104950323,0.069485000957349,0.053688182110584404,0.24
282,14.0,1,KEDİ,Re-introduction,12,2.0,0.1808797384055758,0.1991701998956105,0.0813363788819407,0.0649098157256815,0.2
283,14.0,1,KEDİ,Re-introduction,18,1.0,0.23499837881295832,0.2511338636759791,0.0420900301979341,0.0476547784178006,0.22
284,14.0,2,KEDİ,Introduction,2,0.0,0.3762992330309306,0.3888991227762044,0.0697063775522172,0.06620751097109273,0.24
285,14.0,3,FARE,Introduction,3,-2.0,0.3157250772548018,0.3497248980624227,0.11628451750870519,0.1362584003524999,0.3
286,14.0,3,FARE,Re-introduction,8,1.0,0.5361777478484967,0.5805982108746777,0.1076948806467696,0.10847887081051474,0.36
287,14.0,3,KEDİ,Introduction,4,-1.0,0.1742733690597111,0.1996727787583252,0.0504369385267854,0.0290326195159946,0.28
288,14.0,3,KEDİ,Re-introduction,9,1.0,0.5334426337734057,0.5704444863181833,0.12113908184880763,0.12155520741130657,0.48
289,14.0,4,FARE,Introduction,1,1.0,0.7136982033700124,0.754478201310883,0.14116726016821482,0.09596120076892561,0.72
290,14.0,4,FARE,Re-introduction,5,2.0,0.5999877041144352,0.6416673246220013,0.056254945380495,0.06455905401163212,0.52
291,14.0,4,KEDİ,Introduction,7,-1.0,0.4152890729591142,0.4555592789015585,0.09750311304698384,0.05120932199612502,0.46
292,14.0,5,FARE,Introduction,7,-1.0,0.371150799723384,0.37750597476768644,0.16088376582742045,0.15431553761450476,0.4
293,14.0,5,FARE,Re-introduction,11,2.0,0.2988924796965673,0.3151805704348899,0.06015762457181603,0.0405671626353583,0.32
294,14.0,5,KEDİ,Introduction,1,1.0,0.2600556153717498,0.3003774236731731,0.06658227610377909,0.0513155386241294,0.42000000000000004
295,14.0,5,KEDİ,Re-introduction,12,1.0,0.5814449001274711,0.6402189703412012,0.1180334223778988,0.11650878771801462,0.4
296,14.0,6,FARE,Introduction,1,1.0,0.6480737772193433,0.6955980071292489,0.17297209214129092,0.162068990594122,0.5
297,14.0,6,FARE,Re-introduction,3,2.0,0.1924095958130831,0.2215197889475907,0.0355987709457035,0.02412313202934726,0.28
298,14.0,6,FARE,Re-introduction,14,0.0,0.2387192271449729,0.24762961678344592,0.0312307492473669,0.027454850341515,0.2
299,14.0,6,KEDİ,Introduction,2,0.0,0.4644737151733811,0.5072186784019889,0.07391521001406497,0.0725439538318048,0.26
300,14.0,6,KEDİ,Re-introduction,5,2.0,0.0688868452893437,0.08251712215865864,0.0126627927183339,0.028987188608262802,0.14
